	logFC	AveExpr	t	P.Value	adj.P.Val	B
223835_x_at	0.0365699999999993	5.1774075	0.253229799729957	0.805633538128368	0.999986929681082	-4.81792301487135
206616_s_at	0.0379449999999988	5.3116875	0.253227113266036	0.805635551939091	0.999986929681082	-4.81792329544759
202008_s_at	0.0448449999999996	6.963005	0.25316951013399	0.805678732410862	0.999986929681082	-4.81792931086033
215562_at	-0.0254050000000028	5.87425	-0.253151810826741	0.805692000308423	0.999986929681082	-4.81793115890499
215716_s_at	-0.0614150000000002	10.4518575	-0.253095473173056	0.805734233030663	0.999986929681082	-4.81793704046946
236868_at	0.037112500000001	5.39580375	0.253060664472816	0.805760327209863	0.999986929681082	-4.81794067380464
238547_at	-0.0245850000000019	7.4942475	-0.253045529525068	0.805771673131509	0.999986929681082	-4.81794225343941
224988_at	0.0243974999999992	9.53439625	0.25304391909028	0.805772880397622	0.999986929681082	-4.81794242151508
233943_x_at	0.0282	6.9984975	0.253043853146977	0.805772929832181	0.999986929681082	-4.81794242839734
201452_at	0.0476424999999985	6.20379625	0.253039330947173	0.805776319912536	0.999986929681082	-4.81794290035844
204536_s_at	-0.0383874999999998	5.28105875	-0.253033670729333	0.805780563117469	0.999986929681082	-4.8179434910776
230180_at	-0.0571675000000003	5.28578125	-0.253030415236616	0.805783003613629	0.999986929681082	-4.8179438308258
234529_at	-0.0260199999999999	3.7393075	-0.253023787812254	0.805787971901802	0.999986929681082	-4.81794452246074
205824_at	-0.0498675000000013	9.79218875	-0.25301325679066	0.805795866563766	0.999986929681082	-4.81794562143684
217685_at	-0.035705000000001	5.4361925	-0.253012907968824	0.805796128061156	0.999986929681082	-4.81794565783775
222870_s_at	0.0322624999999999	8.59987125	0.252940988820589	0.805850043432186	0.999986929681082	-4.81795316183232
224860_at	0.0687874999999982	7.33237875	0.252892718076469	0.80588623099396	0.999986929681082	-4.81795819719892
203640_at	0.072025	11.7807875	0.252841947460261	0.805924293181874	0.999986929681082	-4.81796349232608
227657_at	-0.0549524999999997	6.10836375	-0.252835499546453	0.805929127152374	0.999986929681082	-4.8179641647376
206527_at	0.0407650000000022	6.3692925	0.25281063555361	0.80594776765147	0.999986929681082	-4.81796675748673
238517_at	-0.0258900000000004	5.970295	-0.252746166335079	0.805996100731032	0.999986929681082	-4.81797347899922
209590_at	0.0310749999999995	3.861435	0.252744560471613	0.805997304670552	0.999986929681082	-4.81797364640395
241872_at	0.0386125000000002	3.96909875	0.252735214179341	0.806004311734361	0.999986929681082	-4.81797462069623
220574_at	-0.02501	5.3602575	-0.252725376730299	0.806011687045881	0.999986929681082	-4.81797564615048
213445_at	-0.0277700000000012	7.46862	-0.252709482923686	0.80602360295965	0.999986929681082	-4.81797730283609
213128_s_at	0.0359175	9.21646125	0.252673296321149	0.80605073299645	0.999986929681082	-4.8179810743545
1556128_a_at	0.0391124999999999	6.90396125	0.252653370565507	0.806065671970098	0.999986929681082	-4.81798315087429
237345_at	0.0453749999999999	6.5355625	0.252637341925652	0.806077689211989	0.999986929681082	-4.81798482114834
208291_s_at	0.0379475000000014	5.74801125	0.252602149978984	0.806104074055058	0.999986929681082	-4.81798848798283
241289_at	0.0261525000000007	3.89024125	0.252556160316662	0.806138554776679	0.999986929681082	-4.81799327913546
226533_at	0.0748724999999979	6.64620875	0.252547639937107	0.806144942974515	0.999986929681082	-4.81799416668562
1558220_at	-0.038759999999999	4.1007125	-0.252538247726955	0.8061519848493	0.999986929681082	-4.81799514501862
210415_s_at	0.0391900000000014	6.74905	0.252533188060819	0.806155778376741	0.999986929681082	-4.81799567204046
1565829_at	-0.0359249999999998	4.8081325	-0.252510495151585	0.806172792642817	0.999986929681082	-4.81799803563838
227277_at	0.0328624999999994	7.88540125	0.252500872759864	0.806180007172542	0.999986929681082	-4.81799903780351
242329_at	-0.0459499999999995	5.8461425	-0.252499948128043	0.806180700429865	0.999986929681082	-4.81799913410127
1563614_at	-0.0462800000000003	2.958465	-0.252498691649851	0.806181642494537	0.999986929681082	-4.81799926495934
1562909_at	0.0362200000000001	3.311445	0.252492977550368	0.806185926736397	0.999986929681082	-4.81799986005596
224820_at	-0.0571324999999998	9.45717375	-0.252490683338802	0.806187646861886	0.999986929681082	-4.81800009898362
218547_at	-0.0323525000000018	9.26280875	-0.252476311620443	0.80619842233555	0.999986929681082	-4.81800159565908
233628_at	0.0257800000000001	3.5825225	0.252459856121191	0.806210760217064	0.999986929681082	-4.81800330923788
223033_s_at	-0.048474999999998	9.2829775	-0.252415739097994	0.806243838228071	0.999986929681082	-4.81800790278607
203987_at	-0.0838800000000024	9.3879325	-0.25239646344946	0.806258290828967	0.999986929681082	-4.81800990955678
221457_s_at	0.033152499999999	5.42859125	0.252394113223318	0.806260052999637	0.999986929681082	-4.8180101542265
210876_at	0.0415949999999992	8.0160025	0.252352080346613	0.806291568928138	0.999986929681082	-4.81801452967263
224290_at	0.0248349999999995	3.045405	0.252339341643208	0.806301120382879	0.999986929681082	-4.81801585557752
204310_s_at	-0.0305500000000007	7.9473275	-0.252332495112288	0.80630625391225	0.999986929681082	-4.81801656817001
228101_at	-0.042819999999999	6.8680125	-0.25232858088107	0.806309188807481	0.999986929681082	-4.81801697555787
1560007_at	-0.0672725000000005	5.58225125	-0.252304606387641	0.806327164980831	0.999986929681082	-4.81801947065575
1564053_a_at	0.0587599999999995	7.73611	0.252286630299034	0.806340643604191	0.999986929681082	-4.81802134132946
35150_at	-0.0274924999999993	8.64513875	-0.252285864741308	0.806341217627345	0.999986929681082	-4.81802142099399
205317_s_at	0.0347200000000001	3.87912	0.252282062384228	0.806344068676088	0.999986929681082	-4.81802181666673
234014_at	0.0348474999999997	3.08880875	0.252266829126122	0.806355490769077	0.999986929681082	-4.81802340177893
229966_at	-0.0362199999999993	6.7188925	-0.252199620387494	0.806405885323039	0.999986929681082	-4.8180303941354
1562250_at	-0.0275550000000004	2.6431625	-0.252184433715622	0.806417272745617	0.999986929681082	-4.81803197389521
221382_at	-0.0302549999999995	5.94861	-0.25214873786605	0.806444038754462	0.999986929681082	-4.81803568671042
1554405_a_at	0.0241825000000002	3.58577375	0.252092299101762	0.806486359074469	0.999986929681082	-4.81804155599981
217921_at	-0.0537225000000001	7.54100625	-0.252067968413347	0.80650460352172	0.999986929681082	-4.81804408584763
209022_at	0.0819849999999995	10.4532675	0.252064801297213	0.806506978403297	0.999986929681082	-4.81804441513936
242894_at	0.0319850000000006	3.234215	0.252046092684641	0.806521007214448	0.999986929681082	-4.81804636023066
223815_at	-0.0255724999999996	3.35456125	-0.25204449116148	0.8065222081335	0.999986929681082	-4.81804652673077
237406_at	0.0314349999999992	5.6733725	0.252038606277936	0.806526620980144	0.999986929681082	-4.81804713853555
202260_s_at	0.045124999999997	10.9503125	0.251997906372122	0.806557140463129	0.999986929681082	-4.8180513694004
223087_at	0.0772249999999985	10.6522625	0.251993088703511	0.806560753092703	0.999986929681082	-4.8180518701658
1559658_at	-0.0231849999999989	5.0882375	-0.251972636437145	0.806576089706156	0.999986929681082	-4.81805399594202
221999_at	-0.0318050000000039	8.070105	-0.25197126880387	0.806577115261268	0.999986929681082	-4.81805413808564
1559746_a_at	-0.022405	4.3120325	-0.251964487222738	0.806582200610676	0.999986929681082	-4.81805484291147
